PC1,PC2,KMeans_Cluster,Hier_Cluster,DBSCAN_Cluster
-4.5988173946077655,-0.24877882713969734,2,1,0
-4.433028401290158,-0.43059316825344435,2,1,0
-4.26837697106389,-0.6829400706887173,2,1,0
-4.006362801742057,-1.1403773860960815,2,1,0
-4.368462239538505,0.4925720431186354,2,1,0
-4.532709806266735,0.010563036688153208,2,1,0
-4.457595926540317,0.5045751030969705,2,1,0
-4.414211944839048,-0.12558112446302364,2,1,0
-3.9344121484765084,-1.870920985957411,2,1,0
-4.4458678941460885,-1.4847392827594252,2,1,0
-4.481707849769194,-1.004288365290198,2,1,0
-4.575405935897241,0.40625935809728325,2,1,0
-4.441004691229529,0.3910312852880546,2,1,0
-4.225119196623403,-2.22100925186096,2,1,0
-4.496548790864069,0.7968029668443715,2,1,0
-4.181542600125119,-0.25059314613527855,2,1,0
-3.58908140852519,1.3162416630548963,2,1,0
-4.3758520576757585,0.9463252458702569,2,1,0
-4.51191740614245,0.9082179702937059,2,1,0
-4.556387277414003,0.9592168902844413,2,1,0
-4.332444168967082,0.9962993863251626,2,1,0
-4.579979924133657,1.1068345734939955,2,1,0
-4.4520521029218845,1.3528745923093555,2,1,0
-4.248908084444023,0.9259176085323486,2,1,0
-4.525463066501267,0.7916361815982933,2,1,0
-4.442550758435232,0.9508204872551664,2,1,0
-4.792365435269875,1.1387903009633553,2,1,0
-4.736493604490626,1.0697309513152942,2,1,0
-4.442348557730217,0.9505452084349177,2,1,0
-4.712078798298187,1.1409186619237626,2,1,0
-4.55834428422192,0.9636035263990244,2,1,0
-4.555734182587491,0.9559030230686931,2,1,0
-4.2717451346241555,0.3008693890897116,2,1,0
-4.452760801616104,1.3567781196229773,2,1,0
-4.510868320544043,0.9060432201997661,2,1,0
-4.723526640397546,0.9101245306568511,2,1,0
-4.522057264827452,0.819040678666977,2,1,0
-4.612081304776594,1.1452632900676338,2,1,0
-4.46808408674073,0.7515957222695964,2,1,0
-4.561772719807712,0.5596450978144348,2,1,0
-4.683162997240431,1.0540812603572325,2,1,0
-4.467543674832379,0.7536158024992348,2,1,0
-4.535286799818832,0.7174809206665678,2,1,0
-4.489276087790645,1.0809787413220435,2,1,0
-4.561066862616936,0.42998020563147304,2,1,0
-4.556662054306106,0.9550775950795019,2,1,0
-4.487012350698497,1.0622511745578822,2,1,0
-4.512038567193038,0.9114353816646026,2,1,0
-4.55701885911445,0.9645457918630738,2,1,0
-4.616729287339514,0.8978012461969385,2,1,0
-4.316621019473863,-1.1345267211963792,2,1,0
-4.639145626135532,0.9579360303294193,2,1,0
-4.556688420536702,0.95810721439445,2,1,0
-4.542396201495739,1.0690230472463913,2,1,0
-4.224162715678451,-0.45892683734876355,2,1,0
-4.4971243146168725,0.2799831196486018,2,1,0
-4.522569787254549,0.823276420961669,2,1,0
-4.4803875926246395,-0.7680164618314288,2,1,0
-4.373887755704151,-0.1284563336658936,2,1,0
-4.386237645412325,-0.15862687667270092,2,1,0
-4.586387489439877,0.742098460697904,2,1,0
-4.204852773349274,-0.9779298054966077,2,1,0
-4.399322865008794,-0.7576901973662042,2,1,0
-4.495055679720522,-0.02268730397296259,2,1,0
-4.661789313504573,1.1920928676296956,2,1,0
-4.30295118871384,-1.2196140370152084,2,1,0
-4.372669350639058,0.48305596902851855,2,1,0
-4.396150610105819,0.03283820741619423,2,1,0
-4.391948711954729,0.2471018020780579,2,1,0
-4.209293324499297,-0.3358100002662211,2,1,0
-4.337307531723493,0.18423277813563102,2,1,0
-4.528423434653978,0.7826576306085835,2,1,0
-4.304275067551273,-0.9432518465092775,2,1,0
-4.381024662735252,0.8213440797312199,2,1,0
-3.9996643132862966,-0.8912656698559377,2,1,0
-4.502010257453828,0.5451273890199714,2,1,0
-4.696824740515104,1.1239358994846147,2,1,0
-4.413699510156818,-0.8917513213869707,2,1,0
-4.3997850708827215,0.6960329012549171,2,1,0
-4.477325426024205,0.7063303240090312,2,1,0
-4.326706610967634,-2.110588306258987,2,1,0
-4.47705270574008,0.7046242988676675,2,1,0
-4.022934641398259,-0.4617422029299189,2,1,0
-4.458319083901694,0.09882250807725752,2,1,0
-4.230274528151182,-1.319266866164606,2,1,0
-4.504070979459975,0.7290820960217721,2,1,0
-4.369418803417968,0.2898174527392845,2,1,0
-4.79636327132694,-0.19402756575739766,2,1,0
-4.399516400084103,0.6566177516219885,2,1,0
-4.67141188289867,0.7832816974657202,2,1,0
-4.626580659719177,1.0568303034141986,2,1,0
